Timestamp,Features
2022/11/07 9:44:26 pm GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/11/21 4:03:15 pm GMT+5:30,College or university 
2022/11/21 4:03:15 pm GMT+5:30,Flexibility in conducting classes 
2022/11/21 4:03:15 pm GMT+5:30,Poor interaction 
2022/11/21 4:03:15 pm GMT+5:30,Low attendance 
2022/11/21 4:03:15 pm GMT+5:30,Power cuts 
2022/11/21 4:03:15 pm GMT+5:30,They asked fewer doubts 
2022/11/21 4:03:15 pm GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/11/21 4:03:15 pm GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/11/21 4:49:33 pm GMT+5:30,College or university 
2022/11/21 4:49:33 pm GMT+5:30,Flexibility in conducting classes 
2022/11/21 4:49:33 pm GMT+5:30,Saved time and effort during lectures 
2022/11/21 4:49:33 pm GMT+5:30,Poor interaction 
2022/11/21 4:49:33 pm GMT+5:30,Low attendance 
2022/11/21 4:49:33 pm GMT+5:30,It was nearly the same 
2022/11/21 4:49:33 pm GMT+5:30,Hybrid classes should be a regular provision to incorporate digital literacy 
2022/11/21 4:49:33 pm GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/11/22 9:33:33 am GMT+5:30,College or university 
2022/11/22 9:33:33 am GMT+5:30,Flexibility in conducting classes 
2022/11/22 9:33:33 am GMT+5:30,Power cuts 
2022/11/22 9:33:33 am GMT+5:30,It was nearly the same 
2022/11/22 9:33:33 am GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/11/22 9:33:33 am GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/11/22 2:20:13 pm GMT+5:30,College or university 
2022/11/22 2:20:13 pm GMT+5:30,Flexibility in conducting classes 
2022/11/22 2:20:13 pm GMT+5:30,Saved time and effort during lectures 
2022/11/22 2:20:13 pm GMT+5:30,Poor interaction 
2022/11/22 2:20:13 pm GMT+5:30,Low attendance 
2022/11/22 2:20:13 pm GMT+5:30,They asked fewer doubts 
2022/11/22 2:20:13 pm GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular modes of teaching 
2022/11/22 2:20:13 pm GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/11/28 11:47:12 am GMT+5:30,College or university 
2022/11/28 11:47:12 am GMT+5:30,They asked fewer doubts 
2022/11/28 11:47:12 am GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/11/28 11:47:12 am GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
