"Timestamp","Did you study or teach in India during the Covid-19 pandemic? (In case of a student or teacher) Or if you are a parent, did your children study in India during the pandemic? (Here the pandemic specifically refers to the period between (between March 2020 and Feb 2022)","Are you a?","In which category of institution did your child study during the pandemic period (between March 2020 and Feb 2022)?","Did the introduction of online classes and remote learning during the pandemic cause financial burden on your family?","How satisfied are you with the way online learning was managed by your child’s school/university during the pandemic?","What challenges has your child faced in online classes? (multiple choices can be selected)","Do you have concerns about your child’s academic competence due to shift towards online learning during the pandemic?","What is your opinion on conducting hybrid classes after the Pandemic (Here by hybrid classes, we mean there is an option to either attend live lectures in person or view lecture recordings)","Which of these is most suitable for you?","What are the improvements your child's institution should have made while providing online education?(Optional question)","In which category of institution did you teach during the  pandemic period (between March 2020 and Feb 2022)?","Were you able to adapt with new ways of teaching?","What was the level of engagement of students  in your virtual classes?","Which of these benefits from online teaching apply to you? (multiple choices can be selected)","What challenges did you face while teaching online?  (multiple choices can be selected)","Did your students ask more questions in Remote Learning as compared to physical classes?","What is your opinion on conducting hybrid classes after the Pandemic (Here by hybrid classes, we mean there is an option to either attend live lectures in person or view lecture recordings)","Which form of education is most suitable according to you?","In which category of institution did you study during the pandemic period? (between March 2020 and Feb 2022)","Which devices have you used most often while learning online?","How often did you attend your online classes ?","Which of these possible benefits from online learning during the pandemic apply to you?  (multiple choices can be selected)","What challenges did you face with online education?  (multiple choices can be selected)","What is your opinion on conducting hybrid classes after the Pandemic (Here by hybrid classes, we mean there is an option to either attend live lectures in person or view lecture recordings)","Was your understanding from online learning satisfactory?","Which form of education is most suitable according to you?"
"2022/10/29 5:52:12 am GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","3","Lack of Attention;Communication gap with peers;Not having proper environment","5","Hybrid classes should be conducted occasionally to supplement regular teaching","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","To ensure to gain child's attention and one to one interaction to cross check .","","","","","","","","","","","","","","","",""
"2022/10/29 6:07:53 am GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","5","Communication gap with peers;Not having proper environment","4","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","The practical experience is missing in science subjects. The ambience of class is missing ","","","","","","","","","","","","","","","",""
"2022/10/29 7:21:52 am GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/29 7:37:11 am GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","5","Not having proper environment","3","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/29 8:05:21 am GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","4","Communication gap with peers","2","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/29 9:05:05 am GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","4","Lack of Attention;Not having proper environment;Teachers were not available to discuss doubts","4","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","Measures to increase attentiveness","","","","","","","","","","","","","","","",""
"2022/10/29 10:03:20 am GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","High School (till 12 th grade)","Laptop/ Tablet","Attended but not very regular","Syllabus was reduced;Recorded lectures made daily schedule flexible","Internet unavailability;Lack of resources;Unfamiliarity with technology;Power cuts","Hybrid classes should be conducted occasionally to supplement regular modes of learning","4","Online classes ( Through video conferencing  or recorded lectures, and online exams )"
"2022/10/29 10:52:51 am GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","3","Lack of Attention;Not having proper environment;Teachers were not available to discuss doubts","4","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","Time spent on self learning.","","","","","","","","","","","","","","","",""
"2022/10/29 11:03:19 am GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","More study resources helped prepare for exams better;Recorded lectures made daily schedule flexible","Internet unavailability","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 11:19:55 am GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","3","Not having proper environment","4","Hybrid classes should be conducted occasionally to supplement regular teaching","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 11:20:26 am GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","4","2","Flexibility in conducting classes","Poor interaction","They asked fewer doubts","Hybrid classes should be conducted occasionally to supplement regular modes of teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","",""
"2022/10/29 11:25:43 am GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","3","Not having proper environment;Teachers were not available to discuss doubts","4","Hybrid classes should be a regular provision to incorporate digital literacy","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","Arrange online classes","","","","","","","","","","","","","","","",""
"2022/10/29 12:48:23 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","4","Not having proper environment","3","Hybrid classes should be conducted occasionally to supplement regular teaching","Online classes ( Through video conferencing  or recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 1:18:06 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/29 2:21:24 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","3","Lack of Attention;Not having proper environment","4","Hybrid classes should be conducted occasionally to supplement regular teaching","Online classes ( Through video conferencing  or recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 2:28:46 pm GMT+5:30","Yes","Parent/Guardian","College or University","Yes ,it had a considerable impact","5","Communication gap with peers","3","Hybrid classes should be conducted only during emergencies","Online classes ( Through video conferencing  or recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 2:30:41 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","2","Lack of Attention;Communication gap with peers;Not having proper environment","4","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","Should be concession in fees and also gadget to be provided to online learning by school and also should be in restricted mode ","","","","","","","","","","","","","","","",""
"2022/10/29 2:31:10 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","2","Teachers were not available to discuss doubts","1","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/29 2:31:59 pm GMT+5:30","Yes","Parent/Guardian","College or University","Yes ,it had a considerable impact","3","Lack of Attention;Communication gap with peers;Not having proper environment;Teachers were not available to discuss doubts","5","Hybrid classes should be conducted only during emergencies","Online classes ( Through video conferencing  or recorded lectures, and online exams )","Emphasize on practicals","","","","","","","","","","","","","","","",""
"2022/10/29 2:45:23 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","Yes ,it had a considerable impact","4","","5","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","Much better","","","","","","","","","","","","","","","",""
"2022/10/29 2:47:01 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","3","Lack of Attention;Not having proper environment","3","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 2:48:52 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Rarely","Syllabus was reduced","Lack of resources","Hybrid classes should be conducted only during emergencies","4","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/29 2:49:19 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/29 2:49:41 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","1","Lack of Attention;Communication gap with peers;Not having proper environment;Teachers were not available to discuss doubts","5","Hybrid classes should be conducted occasionally to supplement regular teaching","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 2:52:13 pm GMT+5:30","Yes","Parent/Guardian","College or University","Yes ,it had a considerable impact","2","Lack of Attention;Communication gap with peers;Not having proper environment;Teachers were not available to discuss doubts","3","Hybrid classes should be a regular provision to incorporate digital literacy","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","Nothing","","","","","","","","","","","","","","","",""
"2022/10/29 2:58:15 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","4","Teachers were not available to discuss doubts","2","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","Digital learning ","","","","","","","","","","","","","","","",""
"2022/10/29 2:59:01 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","4","Not having proper environment","3","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/29 2:59:37 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Desktop","Attended but not very regular","Syllabus was reduced;Recorded lectures made daily schedule flexible","Internet unavailability;Power cuts","Hybrid classes should be a regular provision to incorporate digital literacy","5","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 3:11:21 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","4","Lack of Attention","5","Hybrid classes should be conducted occasionally to supplement regular teaching","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 3:15:34 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","High School (till 12 th grade)","Mobile phone","Regularly or most often","Syllabus was reduced;Recorded lectures made daily schedule flexible","Internet unavailability;Power cuts","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 3:19:15 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","3","Lack of Attention","3","Hybrid classes should be conducted only during emergencies","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/29 3:20:35 pm GMT+5:30","Yes","Teacher/Professor","","","","","","","","","High School (till 12 th grade)","3","2","Flexibility in conducting classes;Online assignments and tests are easier to evaluate;Saved time and effort during lectures","Poor interaction;Low attendance","It was nearly the same","Hybrid classes should be conducted occasionally to supplement regular modes of teaching","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","",""
"2022/10/29 3:21:34 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","Syllabus was reduced","Power cuts","Hybrid classes should be conducted occasionally to supplement regular modes of learning","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 3:25:52 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","Yes ,it had a considerable impact","3","Lack of Attention;Communication gap with peers;Not having proper environment;Teachers were not available to discuss doubts","3","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","it must be focused on every student ","","","","","","","","","","","","","","","",""
"2022/10/29 3:37:26 pm GMT+5:30","Yes","Parent/Guardian","","No ,we adjusted easily","5","Not having proper environment","1","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","More discussion ","","","","","","","","","","","","","","","",""
"2022/10/29 3:42:36 pm GMT+5:30","Yes","Teacher/Professor","","","","","","","","","Primary or Middle School (till 5 th grade)","3","2","Online resources helped demonstrate concepts more effectively","Poor interaction;Unfamiliarity with technology;Low attendance;Power cuts","Can't say","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","",""
"2022/10/29 3:59:51 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","More study resources helped prepare for exams better","Power cuts;Network issue","Hybrid classes should be conducted occasionally to supplement regular modes of learning","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 4:02:11 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","Syllabus was reduced;Recorded lectures made daily schedule flexible","","Hybrid classes should be a regular provision to incorporate digital literacy","5","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 4:13:59 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","More study resources helped prepare for exams better","Internet unavailability","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 4:19:38 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/29 5:07:30 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/29 5:16:08 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","4","Lack of Attention;Not having proper environment","2","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/29 5:18:25 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/29 5:38:46 pm GMT+5:30","Yes","Parent/Guardian","College or University","Yes ,it had a considerable impact","4","Communication gap with peers;Teachers were not available to discuss doubts","4","Hybrid classes should be conducted only during emergencies","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/29 5:47:36 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
